merchant,merchant_alias,description,category
Nykaa Store,FSN E-COMMERCE STORE,Hair Serum & Moisturizer,Shopping
CRED RentPay,DREAMPLUG RENT,Flat Rent Pay via CRED,Rent & Housing
CRED RentPay,CRED RENTPAY,CRED RentPay - Recurring Subscription,Rent & Housing
Country Delight Store,COUNTRY DELIGHT STORE,Pure Desi Ghee,Groceries
Unacademy Academy,SORTING HAT TECHNOLOGIES ACADEMY,UPSC Coaching Subscription,Education
HPCL Fuel Service,HP PETROL PUMP SERVICE,Diesel Refill,Transportation
Licious Direct,DELIGHTFUL GOURMET DIRECT,Prawns & Fish,Groceries
Family Corporate Payout,SALARY/ISHANKAPOOR,Monthly Salary Credit - July 2025,Miscellaneous
Haldiram's Outlet,HALDIRAM RESTAURANT OUTLET,Pav Bhaji & Sweets Pack,Food & Dining
Netflix Media,NETFLIX INDIA MEDIA,Netflix Premium 4K Plan,Entertainment
BESCOM Electricity Utility,BANGALORE ELECTRICITY UTILITY,Monthly Electricity Consumption Bill,Utilities
Wow! Momo Express,WOW MOMO FOODS EXPRESS,Momo Burger Combo,Food & Dining
Myntra Digital,MYNTRA FASHION DIGITAL,Festive Kurta Set,Shopping
Jawed Habib Salon Salon,JAWED HABIB SALON,Beard Trim & Hair Spa,Grooming
Namma Yatri,MOVING TECH NAMMA,Auto Ride via Namma Yatri,Transportation
KFC Delivery,KFC ONLINE DELIVERY,Smoky Red Chicken,Food & Dining
Amazon India Store,AMAZON SELLER SERVICES STORE,Cotton Casual Shirts,Shopping
Flipkart Retail,FLIPKART RETAIL,Kitchen Mixer Grinder,Shopping
BigBasket Store,BB DAILY STORE,Personal Care & Household,Groceries
Uber,UBER INDIA,Uber Auto Ride to Office,Transportation
Chaayos Express,SUNSHINE TEAHOUSE EXPRESS,Desi Chai & Maska Bun,Food & Dining
IRCTC Service,IRCTC SERVICE,Sleeper Class Ticket,Transportation
Local Kirana Store Mart,KIRANA STORE MART,Packet Milk & Biscuits,Groceries
WorkingProfessional Corporate Payout,SALARY/SIDDHARTHSHARMA,Monthly Salary Credit - May 2025,Miscellaneous
Upstox,RKSV SECURITIES,Stock Trading Margin Topup,Investments
Uber Service,UBER SERVICE,Uber Premier Airport Drop,Transportation
Bodycraft Salon Spa,BODYCRAFT SPA,Aromatherapy Massage,Grooming
Mainland China Outlet,SPECIALITY RESTAURANTS OUTLET,Dim Sum & Dumplings,Food & Dining
Uber Fuel,UBER INDIA FUEL,Uber Auto Ride to Office,Transportation
Croma Retail,CROMA RETAIL,OLED 4K Smart TV,Shopping
Crossword Bookstore Learning,CROSSWORD BOOKSTORES LEARNING,Technical Books & Fiction Novels,Education
Spotify Media,SPOTIFY INDIA MEDIA,Spotify Duo Monthly Plan,Entertainment
Amazon India Store,AMAZON SELLER SERVICES STORE,Home Decor Items,Shopping
Netflix Digital,NETFLIX INDIA DIGITAL,Netflix Digital - Recurring Subscription,Entertainment
KFC Delivery,KFC INDIA DELIVERY,Hot & Crispy Bucket,Food & Dining
KFC,KFC,Zinger Burger Meal,Food & Dining
Udemy Academy,UDEMY ACADEMY,Fullstack Web Development Bootcamp,Education
ICICI Direct Investments,ICICI SECURITIES INVESTMENTS,Equity Portfolio Investment,Investments
Vijay Sales,VIJAY SALES,Double Door Refrigerator,Shopping
Paytm Money,PAYTM MONEY,Paytm Money - Recurring Subscription,Investments
FreshToHome Direct,FRESHTOHOME FOODS DIRECT,Antibiotic-free Chicken,Groceries
Coursera,COURSERA,Coursera - Recurring Subscription,Education
Chaayos Outlet,CHAAYOS CAFE OUTLET,Kulhad Chai & Poha,Food & Dining
Beardo Salon,ZED BLACK BEARDO SALON,Charcoal Face Wash & Grooming Kit,Grooming
Swiggy Express,Swiggy Chennai EXPRESS,Pizza Order,Food & Dining
HP Gas Bill,HP GAS BILL,HP Gas Bill - Recurring Subscription,Utilities
Unacademy Learning,SORTING HAT TECHNOLOGIES LEARNING,UPSC Coaching Subscription,Education
Practo,PRACTO CARE,Dentist Appointment Booking,Healthcare
NPS Contribution Investments,CRA NSDL NPS INVESTMENTS,Tier-1 NPS Retirement Contribution,Investments
India Post Direct,POST OFFICE PAY DIRECT,Registered Speed Post Parcel Charges,Miscellaneous
Family Corporate Payout,SALARY/ARJUNSHARMA,Monthly Salary Credit - November 2025,Miscellaneous
Cult.fit Gym Medical,CUREFIT HEALTHCARE MEDICAL,Cultpass Elite 12 Months Gym Membership,Healthcare
Air India Pay,TATA AIR INDIA PAY,Flight Booking to Mumbai,Transportation
Wonderla India,WONDERLA INDIA,Wonderla Weekend Family Passes,Entertainment
Naturals Ice Cream,KAMAT HOTELS NATURALS,Family Pack Tub,Food & Dining
Airbnb India,AIRBNB,Beachfront Homestay Gokarna,Vacation
CRED RentPay,CRED RENTPAY,CRED RentPay - Recurring Subscription,Rent & Housing
Zomato,ZOMATO Indore,Dessert & Ice Cream,Food & Dining
Zomato Delivery,ZOMATO DELIVERY,Lunch Thali,Food & Dining
Blinkit,BLINKIT (GROFERS),Late Night Munchies,Groceries
Shell Petrol Pump Fuel,SHELL INDIA FUEL,Shell V-Power Petrol Refill,Transportation
Apollo Pharmacy,APOLLO 247,Monthly Diabetes Medication,Healthcare
Barbeque Nation Delivery,BBQ NATION DELIVERY,Weekend Lunch Buffet,Food & Dining
Disney+ Hotstar Media,DISNEY+ HOTSTAR MEDIA,Hotstar Premium Annual Subscription,Entertainment
Subway Express,SUBWAY EXPRESS,Paneer Tikka Sub 6-inch,Food & Dining
General Miscellaneous UPI,PERSON TO PERSON UPI,Misc Goods Purchase,Miscellaneous
D-Mart Store,AVENUE SUPERMARTS STORE,Cooking Oil & Rice Pack,Groceries
Society Maintenance Pay,APARTMENT ASSN MAINTENANCE PAY,Society Maintenance Pay - Recurring Subscription,Rent & Housing
Beardo Care,ZED BLACK BEARDO CARE,Beard Oil & Growth Serum,Grooming
HPCL Fuel Fuel,HPCL FUEL,Engine Oil & Fuel,Transportation
PhysicsWallah Edu,PHYSICSWALLAH EDU,JEE Main Target Batch Course Fee,Education
Disney+ Hotstar Media,DISNEY+ HOTSTAR MEDIA,Disney+ Hotstar Media - Recurring Subscription,Entertainment
Oyo Rooms,OYO ROOMS,Budget Hotel Stay for 2 Nights,Vacation
BusinessOwner Corporate Payout,SALARY/TANVIVERMA,Monthly Salary Credit - August 2025,Miscellaneous
Cafe Coffee Day,CCD,Cafe Latte & Garlic Toast,Food & Dining
Bodycraft Salon,BODYCRAFT SALON & SPA,Skin De-tan & Haircare Package,Grooming
Swiggy Instamart Store,INSTAMART STORE,Daily Milk & Curd,Groceries
Croma Retail,INFINITI RETAIL CROMA RETAIL,Air Conditioner 1.5 Ton,Shopping
Airtel Broadband Bill,AIRTEL BROADBAND BILL,Airtel Broadband Bill - Recurring Subscription,Utilities
Licious Direct,LICIOUS MEAT DIRECT,Fresh Chicken Breast,Groceries
Domino's Pizza,DOMINOS,Cheese Burst Pizza,Food & Dining
ICICI Direct Investments,ICICI DIRECT INVESTMENTS,Corporate Bond Purchase,Investments
Udemy Edu,UDEMY ONLINE COURSES EDU,Python Data Science Masterclass Course,Education
H&M India Retail,H&M RETAIL,Cotton Basic Tops,Shopping
Paradise Biryani Outlet,PARADISE FOOD COURT OUTLET,Chicken Dum Biryani Pack,Food & Dining
Ola Cabs Fuel,ANI TECHNOLOGIES FUEL,Ola Prime SUV Family Ride,Transportation
Apple Music India,APPLE.COM/BILL INDIA,Apple Music India - Recurring Subscription,Entertainment
Wow! Momo Outlet,WOW MOMO EXPRESS OUTLET,Pan Fried Veg Momos,Food & Dining
Vijay Sales,VIJAY SALES,Microwave Oven,Shopping
SoftwareEngineer Corporate Payout,SALARY/NEHAPATEL,Monthly Salary Credit - August 2025,Miscellaneous
Croma Fashion,CROMA FASHION,OLED 4K Smart TV,Shopping
Adani Electricity Utility,ADANI ELECTRICITY UTILITY,Adani Electricity Utility - Recurring Subscription,Utilities
Local Kirana Store Store,CITY SUPERMART STORE,Sugar & Salt,Groceries
PharmEasy Care,PHARMEASY ONLINE CARE,Blood Pressure Monitor,Healthcare
SoftwareEngineer Corporate Payout,SALARY/DEVMEHTA,Monthly Salary Credit - December 2025,Miscellaneous
Jawed Habib Salon,JAWED HABIB HAIR & BEAUTY,Beard Trim & Hair Spa,Grooming
Ajio Digital,RELIANCE RETAIL AJIO DIGITAL,Winter Wear Jackets,Shopping
Urban Company Spa,URBAN CLAP SPA,Salon at Home - Haircut & Facial,Grooming
McDonald's Outlet,MCDONALDS Delhi NCR OUTLET,Happy Meal,Food & Dining
Westside Digital,TRENT LIMITED WESTSIDE DIGITAL,Formal Trousers & Blazers,Shopping
More Megastore Direct,MORE RETAIL DIRECT,Wheat Flour & Rice,Groceries
Netflix Media,NETFLIX MEDIA,Netflix Media - Recurring Subscription,Entertainment
Booking.com Stays,BOOKING.COM STAYS,Boutique Resort Stay Udaipr,Vacation
Apollo Pharmacy Care,APOLLO 247 CARE,Prescription Medicines & Vitamins,Healthcare
MakeMyTrip,MAKEMYTRIP,Manali Tour Package Booking,Vacation
BPCL Fuel,BPCL PETROL PUMP,Two-wheeler Fuel Topup,Transportation
Uber,UBER,Uber Premier Airport Drop,Transportation
Uber Pay,UBER PAY,Uber Auto Ride to Office,Transportation
Student Corporate Payout,SALARY/DIYARAO,Monthly Salary Credit - November 2025,Miscellaneous
Licious Mart,LICIOUS MART,Mutton Curry Cut,Groceries
Wow! Momo,WOW MOMO FOODS,Pan Fried Veg Momos,Food & Dining
MakeMyTrip,MMT INDIA,Goa Beach Resort 3 Nights Stay,Vacation
Naturals Salon Spa,NATURALS SALON SPA,Hair Coloring & Keratin Treatment,Grooming
Zara India Digital,ZARA DIGITAL,Designer Overcoat,Shopping
Nature's Basket,SPENCERS NATURES BASKET,Imported Gourmet Sauces,Groceries
PhysicsWallah Academy,PW LIVE ACADEMY,NEET Prep Study Material,Education
SoftwareEngineer Corporate Payout,SALARY/ISHANKAPOOR,Monthly Salary Credit - November 2025,Miscellaneous
Zepto,KIRANAKART,"Eggs, Milk & Butter",Groceries
Barbeque Nation Delivery,BBQ NATION DELIVERY,Corporate Buffet Outing,Food & Dining
Shell Petrol Pump Service,SHELL PETROL SERVICE,Shell V-Power Petrol Refill,Transportation
Jawed Habib Salon Salon,JAWED HABIB SALON,"Haircut, Wash & Styling",Grooming
Swiggy Outlet,SWIGGY FOODS OUTLET,Chicken Biryani & Coke,Food & Dining
Blue Tokai Delivery,BLUE TOKAI COFFEE ROASTERS DELIVERY,Flat White Coffee,Food & Dining
Jawed Habib Salon Care,JAWED HABIB CARE,"Haircut, Wash & Styling",Grooming
CRED RentPay Pay,CRED RENT PAY,House Rent Transfer via Credit Card,Rent & Housing
Blue Tokai Outlet,BLUE TOKAI OUTLET,Flat White Coffee,Food & Dining
JioFiber,RELIANCE JIO INFOCOMM,JioFiber Unlimited Internet Monthly Plan,Utilities
PVR Cinemas Media,PVR CINEMAS MEDIA,PVR Gold Class Movie Tickets,Entertainment
SoftwareEngineer Corporate Payout,SALARY/KAVYACHOWDHURY,Monthly Salary Credit - May 2025,Miscellaneous
Beardo Spa,ZED BLACK BEARDO SPA,Beard Oil & Growth Serum,Grooming
Netflix India,NETFLIX.COM INDIA,Netflix India - Recurring Subscription,Entertainment
Zomato Outlet,ZOMATO Bangalore OUTLET,Dinner Order,Food & Dining
BPCL Fuel,BHARAT PETROLEUM,Speed Petrol Refill,Transportation
Third Wave Coffee Express,THIRD WAVE COFFEE EXPRESS,Sea Salt Mocha,Food & Dining
Bodycraft Salon Care,BODYCRAFT SALON & SPA CARE,Skin De-tan & Haircare Package,Grooming
IndiGo,INDIGO,Flight Ticket - Blr to Del,Transportation
Zudio Retail,ZUDIO RETAIL,Winter Hoodie & Trackpants,Shopping
More Megastore,MORE SUPERMARKET,Wheat Flour & Rice,Groceries
HPCL Fuel,HINDUSTAN PETROLEUM,Engine Oil & Fuel,Transportation
Urban Company Care,URBANIC TECH CARE,Deep Tissue Full Body Massage,Grooming
General Miscellaneous UPI Direct,PERSON TO PERSON UPI DIRECT,Small Local Merchant Payment,Miscellaneous
Upstox Investments,UPSTOX INVESTMENTS,Stock Trading Margin Topup,Investments
Coursera,COURSERA INC,Coursera Plus Annual Subscription,Education
Udemy Edu,UDEMY ONLINE COURSES EDU,Fullstack Web Development Bootcamp,Education
Decathlon Digital,DECATHLON SPORTS INDIA DIGITAL,Trekking Backpack & Shoes,Shopping
Flipkart,FLIPKART INTERNET,Smart TV Purchase,Shopping
McDonald's Outlet,HARDCASTLE RESTAURANTS OUTLET,McVeggie Burger & Fries,Food & Dining
NPS Contribution Capital,NPS TRUST CAPITAL,Tier-1 NPS Retirement Contribution,Investments
Urban Company Salon,URBAN CLAP SALON,Pedicure & Manicure,Grooming
MakeMyTrip Travels,MAKEMYTRIP TRAVELS,Manali Tour Package Booking,Vacation
School Tuition Fee Edu,DELHI PUBLIC SCHOOL FEE EDU,Quarterly School Tuition & Transport Fee,Education
MakeMyTrip,MAKEMYTRIP,Roundtrip Flight & Hotel Combo,Vacation
Urban Company,URBAN CLAP,Deep Tissue Full Body Massage,Grooming
BPCL Fuel Pay,BPCL PAY,Two-wheeler Fuel Topup,Transportation
NoBroker Rent Pay Pay,NOBROKER RENT PAY,NoBroker Rental Agreement Fee,Rent & Housing
Wonderla,WONDERLA AMUSEMENT PARK,Wonderla Weekend Family Passes,Entertainment
Swiggy Delivery,SWIGGY*PAY DELIVERY,Veg Meals,Food & Dining
Groww Investments,NEXTBILLION TECHNOLOGY INVESTMENTS,Index Fund SIP Monthly Auto-debit,Investments
Empire Restaurant Outlet,HOTEL EMPIRE OUTLET,Ghee Rice & Kebab,Food & Dining
CRED RentPay Online,CRED RENT ONLINE,Flat Rent Pay via CRED,Rent & Housing
Scaler Academy,INTERVIEWBIT,Scaler Academy - Recurring Subscription,Education
Goibibo Travels,GOIBIBO TRAVELS,Outstation Cab & Homestay,Vacation
Pizza Hut,DEVYANI INT PIZZA,Pasta & Garlic Bread,Food & Dining
Empire Restaurant,HOTEL EMPIRE,Coin Parotta & Grill Chicken,Food & Dining
Domino's Pizza Outlet,DOMINOS PIZZA OUTLET,Choco Lava Cake,Food & Dining
Reliance Fresh,RELIANCE SMART,Dry Fruits & Nuts,Groceries
Zomato Delivery,Zomato Ltd DELIVERY,Burger Meal,Food & Dining
PharmEasy Healthcare,API HOLDINGS HEALTHCARE,Blood Pressure Monitor,Healthcare
Urban Company Care,URBANIC TECH CARE,Salon at Home - Haircut & Facial,Grooming
D-Mart Store,DMART STORE,Monthly Staples & Provisions,Groceries
Barbeque Nation Outlet,BBQ NATION OUTLET,Corporate Buffet Outing,Food & Dining
Cult.fit Gym Healthcare,CUREFIT HEALTHCARE HEALTHCARE,Cult.fit Gym Healthcare - Recurring Subscription,Healthcare
Starbucks Outlet,TATA STARBUCKS OUTLET,Cold Brew,Food & Dining
Urban Company,URBAN COMPANY,Salon at Home - Haircut & Facial,Grooming
Reliance Fresh,RELIANCE RETAIL,Household Cleaners,Groceries
Investor Corporate Payout,SALARY/TANVIGUPTA,Monthly Salary Credit - January 2025,Miscellaneous
HP Gas Bill,HINDUSTAN PETROLEUM LPG BILL,LPG Cooking Gas Cylinder Refill,Utilities
Adani Electricity Bill,ADANI POWER MUMBAI BILL,Monthly Power Utility Payment,Utilities
HP Gas Bill,HP GAS BILL,HP Gas Bill - Recurring Subscription,Utilities
Reliance Fresh Mart,RELIANCE SMART MART,Fresh Packaged Spices,Groceries
Domino's Pizza Outlet,DOMINOS PIZZA OUTLET,Party Combo,Food & Dining
Kama Ayurveda Spa,KAMA AYURVEDA SPA,Kumkumadi Miraculous Night Serum,Grooming
Country Delight,COUNTRY DELIGHT,Country Delight - Recurring Subscription,Groceries
Subway Express,SUBWAY INDIA EXPRESS,Sub of the Day,Food & Dining
Delhi Metro,DMRC,Metro Smart Card Recharge,Transportation
Air India,TATA AIR INDIA,Economy Class Domestic Flight,Transportation
IRCTC Fuel,IRCTC FUEL,Sleeper Class Ticket,Transportation
Zara India Retail,ZARA RETAIL,Slim Fit Denim Jeans,Shopping
Swiggy,SWIGGY*PAY,Chicken Biryani & Coke,Food & Dining
Unacademy Edu,UNACADEMY EDU,CAT Exam Preparation Plus Subscription,Education
Zomato Express,ZOMATO*ORDER EXPRESS,Dessert & Ice Cream,Food & Dining
Airbnb India,AIRBNB,Private Villa Booking in Lonavala,Vacation
SonyLIV Digital,SONYLIV DIGITAL,Sports & Live Match Pass,Entertainment
India Post,INDIA POST,Registered Speed Post Parcel Charges,Miscellaneous
Naturals Salon Spa,NATURALS BEAUTY CARE SPA,Facial & Threading,Grooming
FASTag Recharge Service,NETC FASTAG SERVICE,FASTag Recharge Service - Recurring Subscription,Transportation
Burger King Outlet,BURGER KING INDIA OUTLET,Whopper Combo,Food & Dining
Decathlon,DECATHLON SPORTS INDIA,Trekking Backpack & Shoes,Shopping
Reliance Fresh Direct,RELIANCE FRESH DIRECT,Fresh Packaged Spices,Groceries
Flipkart Store,FKMP PAY STORE,Running Shoes & Sports Wear,Shopping
Swiggy Instamart Direct,INSTAMART DIRECT,Daily Milk & Curd,Groceries
BookMyShow Media,BOOKMYSHOW MEDIA,Standup Comedy Show Tickets,Entertainment
Bodycraft Salon,BODYCRAFT,Aromatherapy Massage,Grooming
Social Express,SOCIAL EXPRESS,Craft Beer & Nachos,Food & Dining
Spotify Media,SPOTIFY AB MEDIA,Spotify Premium Individual Plan,Entertainment
PharmEasy Healthcare,PHARMEASY HEALTHCARE,Health Supplements & Protein,Healthcare
Apple Store,APPLE STORE,iPhone 15 Pro Purchase,Shopping
Subway Delivery,SUBWAY DELIVERY,Roasted Chicken Sub,Food & Dining
Burger King Express,BK DELIVERY EXPRESS,Fiery Chicken Wings,Food & Dining
Blue Tokai Delivery,BLUE TOKAI COFFEE ROASTERS DELIVERY,Single Origin Pour-over,Food & Dining
Local Kirana Store,UPAHAR PROVISIONS,Packet Milk & Biscuits,Groceries
Starbucks Outlet,STARBUCKS COFFEE OUTLET,Cappuccino & Muffin,Food & Dining
Wow! Momo,WOW MOMO FOODS,Steamed Chicken Momos,Food & Dining
More Megastore Store,MORE RETAIL STORE,Wheat Flour & Rice,Groceries
Subway Outlet,SUBWAY OUTLET,Sub Meal & Cookie,Food & Dining
SonyLIV,CULVER MAX ENTERTAINMENT,SonyLIV Premium Annual Subscription,Entertainment
Bikanervala Outlet,BIKANERVALA SWEETS OUTLET,Kaju Katli Box,Food & Dining
Cult.fit Gym Medical,CULT FIT MEDICAL,Cult.fit Gym Medical - Recurring Subscription,Healthcare
Airbnb India Holidays,AIRBNB PAYMENTS HOLIDAYS,Private Villa Booking in Lonavala,Vacation
Zerodha Investments,ZERODHA BROKING INVESTMENTS,Sovereign Gold Bond Purchase,Investments
HPCL Fuel,HP PETROL PUMP,Petrol Tank Full,Transportation
IOCL Fuel,INDIANOIL CORP,Diesel Tank Refill,Transportation
Vijay Sales Store,VIJAY SALES STORE,Microwave Oven,Shopping
SpiceJet Service,SPICEJET SERVICE,Flight Ticket Booking,Transportation
Airtel Broadband,AIRTEL XSTREAM,Fiber Optic Broadband Monthly Bill 200Mbps,Utilities
PhysicsWallah Learning,PHYSICSWALLAH LEARNING,JEE Main Target Batch Course Fee,Education
Disney+ Hotstar Media,HOTSTAR MEDIA,Disney+ Hotstar Super Plan,Entertainment
Urban Company Care,URBANIC TECH CARE,Pedicure & Manicure,Grooming
Reliance Fresh Mart,RELIANCE RETAIL MART,Monthly Pantry Groceries,Groceries
Oyo Rooms Travels,OYO TRAVELS,Business Trip Overnight Stay,Vacation
Landlord Direct Rent,RENT PAYMENT,Landlord Direct Rent - Recurring Subscription,Rent & Housing
Swiggy Instamart Direct,SWIGGY INSTAMART DIRECT,Biscuits & Beverages,Groceries
Flipkart Digital,FLIPKART INTERNET DIGITAL,Kitchen Mixer Grinder,Shopping
Naturals Salon Care,NATURALS BEAUTY CARE CARE,Hair Coloring & Keratin Treatment,Grooming
Croma Fashion,CROMA FASHION,Air Conditioner 1.5 Ton,Shopping
Indane LPG Gas Utility,INDANE GAS UTILITY,14.2kg Domestic LPG Cylinder Booking,Utilities
Paradise Biryani Express,PARADISE FOOD COURT EXPRESS,Chicken Dum Biryani Pack,Food & Dining
Apple Store Digital,APPLE STORE DIGITAL,iPhone 15 Pro Purchase,Shopping
Society Maintenance,APARTMENT ASSN MAINTENANCE,Society Maintenance - Recurring Subscription,Rent & Housing
Zomato Express,Zomato Gold EXPRESS,Lunch Thali,Food & Dining
Burger King Delivery,BK DELIVERY DELIVERY,Fiery Chicken Wings,Food & Dining
MakeMyTrip Holidays,MMT INDIA HOLIDAYS,Manali Tour Package Booking,Vacation
Bodycraft Salon Spa,BODYCRAFT SPA,Skin De-tan & Haircare Package,Grooming
Airtel Broadband,AIRTEL BROADBAND,Airtel Broadband - Recurring Subscription,Utilities
Zara India Digital,ZARA DIGITAL,Slim Fit Denim Jeans,Shopping
FreshToHome Store,FRESHTOHOME STORE,Antibiotic-free Chicken,Groceries
Blinkit Store,HANDS ON TRADES STORE,Late Night Munchies,Groceries
Landlord Direct Rent Online,HOUSE RENT UPI ONLINE,Landlord Direct Rent Online - Recurring Subscription,Rent & Housing
Nykaa,NYKAA,Perfume & Fragrance,Shopping
Adani Electricity,ADANI ELECTRICITY,Monthly Power Utility Payment,Utilities
WorkingProfessional Corporate Payout,SALARY/NEHANAIR,Monthly Salary Credit - August 2025,Miscellaneous
MakeMyTrip Stays,MMT INDIA STAYS,Manali Tour Package Booking,Vacation
NPS Contribution Capital,CRA NSDL NPS CAPITAL,NPS Contribution Capital - Recurring Subscription,Investments
PhysicsWallah Academy,PW LIVE ACADEMY,NEET Prep Study Material,Education
Domino's Pizza Delivery,JUBILANT FOODWORKS DELIVERY,Farmhouse Pizza & Garlic Bread,Food & Dining
Prime Video Media,PRIME VIDEO MEDIA,Prime Monthly Video Plan,Entertainment
BESCOM Electricity Bill,BESCOM BILL,Monthly Electricity Consumption Bill,Utilities
Vi Postpaid Utility,VI POSTPAID UTILITY,Vi Postpaid Utility - Recurring Subscription,Utilities
Pet Care Clinic,PET CARE CLINIC,Pet Vaccination & Routine Health Checkup,Miscellaneous
Paradise Biryani,PARADISE FOOD COURT,Mirchi Ka Salan Combo,Food & Dining
Zudio Fashion,ZUDIO FASHION,Winter Hoodie & Trackpants,Shopping
BigBasket Mart,BB INSTANT MART,Personal Care & Household,Groceries
Chaayos Express,CHAAYOS EXPRESS,Adrak Elaichi Tea,Food & Dining
Bikanervala Outlet,BIKANERVALA SWEETS OUTLET,Special Thali,Food & Dining
Taj Hotels Stays,INDIAN HOTELS CO LTD STAYS,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
Haldiram's Express,HALDIRAMS SWEETS EXPRESS,Thali Meal,Food & Dining
Reliance Fresh,RELIANCE SMART,Monthly Pantry Groceries,Groceries
IRCTC Pay,IRCTC TRAIN TICKETING PAY,Sleeper Class Ticket,Transportation
YouTube Premium India,YOUTUBE PREMIUM INDIA,YouTube Family Subscription,Entertainment
SoftwareEngineer Corporate Payout,SALARY/RAHULDESHMUKH,Monthly Salary Credit - January 2025,Miscellaneous
Starbucks,STARBUCKS INDIA,Cold Brew,Food & Dining
Kama Ayurveda,KAMA AYURVEDA RETAIL,Bringadi Hair Oil & Ayurvedic Soap,Grooming
Starbucks Delivery,STARBUCKS COFFEE DELIVERY,Cold Brew,Food & Dining
Unacademy Learning,UNACADEMY LEARNING,Unacademy Learning - Recurring Subscription,Education
Netflix Digital,NETFLIX INDIA DIGITAL,Netflix Premium 4K Plan,Entertainment
BusinessOwner Corporate Payout,SALARY/ISHANSHARMA,Monthly Salary Credit - February 2025,Miscellaneous
Bodycraft Salon Salon,BODYCRAFT SALON,Skin De-tan & Haircare Package,Grooming
FreshToHome,FRESHTOHOME FOODS,Fresh Sea Fish,Groceries
Booking.com Travels,BOOKING.COM INDIA TRAVELS,Boutique Resort Stay Udaipr,Vacation
Urban Company,URBAN CLAP,Pedicure & Manicure,Grooming
Cult.fit Gym Healthcare,CULTPASS HEALTHCARE,Cult Live Workout Subscription,Healthcare
Coursera Academy,COURSERA INC ACADEMY,Deep Learning Specialization Certificate Fee,Education
Groww,GROWW SIP,Groww - Recurring Subscription,Investments
Zara India Store,ZARA STORE,Designer Overcoat,Shopping
Third Wave Coffee,CUSTOMIZED COFFEE PVT,Sea Salt Mocha,Food & Dining
Westside Store,TRENT LIMITED WESTSIDE STORE,Western Dresses,Shopping
Unacademy Edu,SORTING HAT TECHNOLOGIES EDU,UPSC Coaching Subscription,Education
Zara India,ZARA,Leather Handbag,Shopping
Groww Capital,GROWW SIP CAPITAL,Groww Capital - Recurring Subscription,Investments
Disney+ Hotstar,NOVI DIGITAL,Disney+ Hotstar Super Plan,Entertainment
Reliance Fresh Mart,RELIANCE SMART MART,Household Cleaners,Groceries
Barbeque Nation Express,BARBEQUE NATION LTD EXPRESS,Buffet Dinner for 2,Food & Dining
Chai Point Delivery,CHAI POINT EXPRESS DELIVERY,Filter Coffee & Bun Maska,Food & Dining
Groww Capital,NEXTBILLION TECHNOLOGY CAPITAL,Direct Equity Investment,Investments
Pizza Hut Express,PIZZA HUT ONLINE EXPRESS,Personal Pan Pizza,Food & Dining
Coursera Learning,COURSERA LEARNING,Coursera Learning - Recurring Subscription,Education
Family Corporate Payout,SALARY/SIDDHARTHJOSHI,Monthly Salary Credit - February 2025,Miscellaneous
Blinkit,HANDS ON TRADES,Daily Milk & Bread,Groceries
Myntra Retail,MYNTRA RETAIL,Festive Kurta Set,Shopping
Landlord Direct Rent Pay,LANDLORD RENT TRANSFER PAY,Monthly Apartment Rent Transfer,Rent & Housing
Empire Restaurant Express,EMPIRE RESTAURANT Jaipur EXPRESS,Empire Special Chicken Dosa,Food & Dining
YouTube Premium,GOOGLE YOUTUBE,YouTube Premium Individual Plan,Entertainment
Empire Restaurant Delivery,EMPIRE RESTAURANT Ahmedabad DELIVERY,Coin Parotta & Grill Chicken,Food & Dining
Groww Capital,NEXTBILLION TECHNOLOGY CAPITAL,Direct Equity Investment,Investments
Apple Store Retail,UNICORN APPLE RETAIL,Apple Watch Series 9,Shopping
Bodycraft Salon Care,BODYCRAFT SALON & SPA CARE,Skin De-tan & Haircare Package,Grooming
Paytm Money,PAYTM MONEY,Nifty 50 Mutual Fund SIP,Investments
Reliance Fresh Store,RELIANCE RETAIL STORE,Fresh Packaged Spices,Groceries
Taco Bell Outlet,TACO BELL OUTLET,Burrito Meal Box,Food & Dining
Air India Pay,AIR INDIA PAY,Economy Class Domestic Flight,Transportation
Reliance Fresh Store,RELIANCE FRESH STORE,Monthly Pantry Groceries,Groceries
Groww Investments,NEXTBILLION TECHNOLOGY INVESTMENTS,Direct Equity Investment,Investments
School Tuition Fee,RYAN INTL SCHOOL,School Tuition Fee - Recurring Subscription,Education
D-Mart Direct,AVENUE SUPERMARTS DIRECT,Monthly Staples & Provisions,Groceries
Starbucks Delivery,STARBUCKS COFFEE DELIVERY,Cappuccino & Muffin,Food & Dining
Empire Restaurant Outlet,HOTEL EMPIRE OUTLET,Empire Special Chicken Dosa,Food & Dining
IndiGo Fuel,INDIGO FUEL,Return Flight Booking,Transportation
Swiggy Express,Swiggy Kochi EXPRESS,Butter Chicken Meal,Food & Dining
KFC Delivery,KFC DELIVERY,Popcorn Chicken,Food & Dining
BigBasket,BB DAILY,Dairy Products,Groceries
Haldiram's Outlet,HALDIRAMS OUTLET,Raj Kachori & Chole Bhature,Food & Dining
JioFiber Bill,JIO BROADBAND BILL,JioFiber Unlimited Internet Monthly Plan,Utilities
Empire Restaurant Outlet,EMPIRE RESTAURANT Hyderabad OUTLET,Coin Parotta & Grill Chicken,Food & Dining
